,x
1,CH601_SYNP6
2,CH60_SYNE7
3,A0A067P7C4
4,A0A077JHA5
5,A0A0B0QSG2
6,A0A0B0QTB3
7,A0A0C2KRY5
8,A0A0C2MBX4
9,A0A0D8ZX73
10,A0A0K1SAE5
11,A0A0K2LVT4
12,A0A0K2M0Z0
13,A0A0K2ZX84
14,A0A0M4SHD6
15,A0A0N7Z3N3
16,A0A0P4UKM5
17,A0A0P4UUI5
18,A0A0Q6W7P5
19,A0A0R0MCD1
20,A0A0R0MH59
21,A0A0T2KRR3
22,A0A0T7BTJ7
23,A0A0X8P181
24,A0A0X8WUT4
25,A0A0X8WW16
26,A0A199NZ11
27,A0A1B1TX37
28,A0A1B7V516
29,A0A1B7VJ23
30,A0A1B7VXJ4
31,A0A1B7W8C1
32,A0A1B7WKL8
33,A0A1B7WNC1
34,A0A1B7X781
35,A0A1C0VF05
36,A0A1D2P358
37,A0A1E2WEG2
38,A0A1E4M6G6
39,A0A1E5QMT7
40,A0A1H9GR64
41,A0A1I4GRT2
42,A0A1J1LRW1
43,A0A1L9QQ97
44,A0A1M5A620
45,A0A1Q4AWD3
46,A0A1Q8Z7N5
47,A0A1Q8Z933
48,A0A1U7HZN4
49,A0A1U7J2T5
50,A0A1X7DIP4
51,A0A1Z3HQM9
52,A0A1Z4IRL3
53,A0A1Z4IVG8
54,A0A1Z4IWW0
55,A0A1Z4JAD5
56,A0A1Z4JAX7
57,A0A1Z4JFQ4
58,A0A1Z4JH59
59,A0A1Z4JKR1
60,A0A1Z4JQA9
61,A0A1Z4KJ91
62,A0A1Z4Q2V4
63,A0A1Z4Q7A7
64,A0A1Z4QDE6
65,A0A1Z4QFX4
66,A0A1Z4QQK5
67,A0A1Z4QQL7
68,A0A1Z4SCH9
69,A0A1Z4SCJ3
70,A0A1Z4SD03
71,A0A1Z4SEX2
72,A0A1Z4TJZ6
73,A0A1Z4V5A8
74,A0A1Z4VDC4
75,A0A1Z4VE81
76,A0A218QC51
77,A0A218QJR2
78,A0A228QL57
79,A0A235IJ65
80,A0A259MK25
81,A0A261KV94
82,A0A2A2TPX3
83,A0A2E0L0L3
84,A0A2G4EV59
85,A0A2G4EYB1
86,A0A2G4EYE5
87,A0A2G4F274
88,A0A2G4F432
89,A0A2H5XBS4
90,A0A2H6BNE9
91,A0A2H6LLA3
92,A0A2K8ST99
93,A0A2N6M1L6
94,A0A2R5FX20
95,A0A2T1D2X3
96,A0A2T1D3J8
97,A0A2T1D5P1
98,A0A2T1D646
99,A0A2T1D6A6
100,A0A2T1D784
101,A0A2T1D797
102,A0A2T1D8C5
103,A0A2T1D8J6
104,A0A2T1DA47
105,A0A2T1DAM9
106,A0A2T1DB89
107,A0A2T1DBW2
108,A0A2T1DC92
109,A0A2T1DCE2
110,A0A2T1DCM7
111,A0A2T1DCQ5
112,A0A2T1DD05
113,A0A2T1DD61
114,A0A2T1DDD3
115,A0A2T1DEW5
116,A0A2T1DF44
117,A0A2T1DFJ0
118,A0A2T1DFN1
119,A0A2T1DFV2
120,A0A2T1DFX5
121,A0A2T1DG34
122,A0A2T1DG40
123,A0A2T1DG55
124,A0A2T1DG79
125,A0A2T1DGA4
126,A0A2T1DGA8
127,A0A2T1DGE7
128,A0A2T1DGP8
129,A0A2T1DGZ9
130,A0A2T1DHC9
131,A0A2T1DHF5
132,A0A2T1DHK3
133,A0A2T1DHY8
134,A0A2T1DJD4
135,A0A2T1DJS0
136,A0A2T1DK33
137,A0A2T1DKF9
138,A0A2T1DKH7
139,A0A2T1DKV5
140,A0A2T1DKV9
141,A0A2T1DL13
142,A0A2T1DL37
143,A0A2T1DL99
144,A0A2T1DLU9
145,A0A2T1DLV5
146,A0A2T1DLX1
147,A0A2T1DLX5
148,A0A2T1DLY2
149,A0A2T1DLZ3
150,A0A2T1DM89
151,A0A2T1DMD6
152,A0A2T1DMM9
153,A0A2T1DMN4
154,A0A2T1DNF6
155,A0A2T1DNN0
156,A0A2T1DP56
157,A0A2T1DTX6
158,A0A2T1DYZ8
159,A0A2T1E0P4
160,A0A2T1E4K7
161,A0A2T1E7R4
162,A0A2T1EH77
163,A0A2T1EMH6
164,A0A2T1EP47
165,A0A2T1EV35
166,A0A2T1EV68
167,A0A2T1EVB5
168,A0A2T1FAP2
169,A0A2T1FEK3
170,A0A2T1FIY8
171,A0A2T1FK22
172,A0A2T1FNZ0
173,A0A2T1FQI5
174,A0A2T1G0C5
175,A0A2T1G5A3
176,A0A2T1G6W1
177,A0A2T1GDY1
178,A0A2T2WBT5
179,A0A2T3XNR5
180,A0A2V1HPZ0
181,A0A2W4WF12
182,A0A2W4WJ29
183,A0A2W4XH96
184,A0A2W4XW24
185,A0A2W4YBT4
186,A0A2W6ZT46
187,A0A2W7A1A5
188,A0A2W7AHE0
189,A0A2W7AHJ1
190,A0A2W7ALH8
191,A0A2W7ANV7
192,A0A2W7AS05
193,A0A2W7AT93
194,A0A2W7AZ37
195,A0A2W7B0C8
196,A0A2W7B6P4
197,A0A2W7B737
198,A0A2W7B830
199,A0A2W7BB34
200,A0A2W7BFY6
201,A0A2W7BHQ9
202,A0A2Z6CEZ3
203,A0A328IGN0
204,A0A346QR77
205,A0A367PYT2
206,A0A3C1LYK1
207,A0A3D2J724
208,A0A3D5G367
209,A0A3E0LGA9
210,A0A3E0MHP1
211,A0A3G4ZVK3
212,A0A3G9JSM5
213,A0A3M1P5L7
214,A0A3M1P9Q4
215,A0A3M9Z9B4
216,A0A3M9ZAE5
217,A0A3M9ZEI8
218,A0A3N7C2H0
219,A0A426TSN7
220,A0A479ZU07
221,A0A480A666
222,A0A480A6S8
223,A0A4D9CHG1
224,A0A4Q3IYK0
225,A0A4Q5QII1
226,A0A4R8VT96
227,A0A4R8YKV2
228,A0A522DFG8
229,A0A551YHY0
230,A0A552CJC9
231,A0A552FIZ1
232,A0A552KE03
233,A0A552QA31
234,A0A561P4W6
235,A0A563W446
236,A0A5B8NLT6
237,A0A5C0DVG5
238,A0A5C8UUW4
239,A0A5F0DPA8
240,A0A5J4F5S3
241,A0A5Q3HJG5
242,A0A5Q4HBV4
243,A0A5R9J9Q4
244,A0A651DZH8
245,A0A6H2BWE9
246,A0A6H2BX44
247,A0A6H2C3P2
248,A0A6H3JGG6
249,A0A6H9GA60
250,A0A6H9GNE1
251,A0A6H9H4H3
252,A0A6J4MDR0
253,A0A6J4PGN3
254,A0A6M0B6F9
255,A0A6M0FAA8
256,A0A6M0IWA6
257,A0A6M8B2Y6
258,A0A6M8BB14
259,A0A6M8BNP3
260,A0A6P0IDV7
261,A0A6P0Q9P7
262,A0A6P0QDM5
263,A0A6P0Z2K7
264,A0A7C4C091
265,A0A7D7QRM1
266,A0A7G6Z4U7
267,A0A7G7SBY3
268,A0A7G8VV73
269,A0A7G8VYV3
270,A0A7G8VZN1
271,A0A7I0EGR3
272,A3IQ24
273,A3IWW6
274,A8YIV7
275,B4WFW9
276,B7JZ13
277,B9A0N9
278,D3EQH2
279,E0UJB3
280,E8WVD9
281,F5UCR3
282,F5UCS9
283,F5UG82
284,F5UM86
285,F5UMC9
286,F5UP33
287,G5JCS8
288,G6FTS0
289,G6FXP5
290,I4H4C4
291,I4HMM0
292,I4I9W3
293,K7W689
294,K9RJ43
295,K9RNQ0
296,K9S568
297,K9SA05
298,K9T5I6
299,K9TBE4
300,K9UGN6
301,K9UJ19
302,K9UKY8
303,K9UMB4
304,K9VEZ1
305,K9VI22
306,K9VPE0
307,K9VPJ4
308,K9VQM4
309,K9VTC0
310,K9VVC5
311,K9VVF0
312,K9VWJ1
313,K9VXM5
314,K9VXY4
315,K9VY78
316,K9VYP7
317,K9VZI6
318,K9VZS5
319,K9W058
320,K9W094
321,K9W095
322,K9W0X8
323,K9W1H0
324,K9W2I2
325,K9W5Y7
326,K9X2K6
327,K9X9D5
328,K9ZHP7
329,K9ZJD6
330,L0DHM7
331,L8NVY6
332,P94611
333,Q4BWB1
334,T2IMV1
335,T2IRH0
336,U7QGP0
337,W0FKH3
